,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,1,Alive,3,"Braund, Mr. Owen Harris",0.0,22.0,1,0,A/5 21171,7.25,21.75,2.0
1,2,Dead,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1.0,38.0,1,0,PC 17599,71.2833,71.2833,0.0
2,3,Dead,3,"Heikkinen, Miss. Laina",1.0,26.0,0,0,STON/O2. 3101282,7.925,23.775,2.0
3,4,Dead,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1.0,35.0,1,0,113803,53.1,53.1,2.0
4,5,Alive,3,"Allen, Mr. William Henry",0.0,35.0,0,0,373450,8.05,24.150000000000002,2.0
5,6,Alive,3,"Moran, Mr. James",0.0,30.7,0,0,330877,8.4583,25.374899999999997,1.0
6,7,Alive,1,"McCarthy, Mr. Timothy J",0.0,54.0,0,0,17463,51.8625,51.8625,2.0
7,8,Alive,3,"Palsson, Master. Gosta Leonard",0.0,2.0,3,1,349909,21.075,63.224999999999994,2.0
8,9,Dead,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1.0,27.0,0,2,347742,11.1333,33.3999,2.0
9,10,Dead,2,"Nasser, Mrs. Nicholas (Adele Achem)",1.0,14.0,1,0,237736,30.0708,60.1416,0.0
10,11,Dead,3,"Sandstrom, Miss. Marguerite Rut",1.0,4.0,1,1,PP 9549,16.7,50.099999999999994,2.0
11,12,Dead,1,"Bonnell, Miss. Elizabeth",1.0,58.0,0,0,113783,26.55,26.55,2.0
12,13,Alive,3,"Saundercock, Mr. William Henry",0.0,20.0,0,0,A/5. 2151,8.05,24.150000000000002,2.0
13,14,Alive,3,"Andersson, Mr. Anders Johan",0.0,39.0,1,5,347082,31.275,93.82499999999999,2.0
14,15,Alive,3,"Vestrom, Miss. Hulda Amanda Adolfina",1.0,14.0,0,0,350406,7.8542,23.5626,2.0
15,16,Dead,2,"Hewlett, Mrs. (Mary D Kingcome) ",1.0,55.0,0,0,248706,16.0,32.0,2.0
16,17,Alive,3,"Rice, Master. Eugene",0.0,2.0,4,1,382652,29.125,87.375,1.0
17,18,Dead,2,"Williams, Mr. Charles Eugene",0.0,30.7,0,0,244373,13.0,26.0,2.0
18,19,Alive,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1.0,31.0,1,0,345763,18.0,54.0,2.0
19,20,Dead,3,"Masselmani, Mrs. Fatima",1.0,27.9,0,0,2649,7.225,21.674999999999997,0.0
20,21,Alive,2,"Fynney, Mr. Joseph J",0.0,35.0,0,0,239865,26.0,52.0,2.0
21,22,Dead,2,"Beesley, Mr. Lawrence",0.0,34.0,0,0,248698,13.0,26.0,2.0
22,23,Dead,3,"McGowan, Miss. Anna ""Annie""",1.0,15.0,0,0,330923,8.0292,24.0876,1.0
23,24,Dead,1,"Sloper, Mr. William Thompson",0.0,28.0,0,0,113788,35.5,35.5,2.0
24,25,Alive,3,"Palsson, Miss. Torborg Danira",1.0,8.0,3,1,349909,21.075,63.224999999999994,2.0
25,26,Dead,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1.0,38.0,1,5,347077,31.3875,94.1625,2.0
26,27,Alive,3,"Emir, Mr. Farred Chehab",0.0,30.7,0,0,2631,7.225,21.674999999999997,0.0
27,28,Alive,1,"Fortune, Mr. Charles Alexander",0.0,19.0,3,2,19950,263.0,263.0,2.0
28,29,Dead,3,"O'Dwyer, Miss. Ellen ""Nellie""",1.0,27.9,0,0,330959,7.8792,23.6376,1.0
29,30,Alive,3,"Todoroff, Mr. Lalio",0.0,30.7,0,0,349216,7.8958,23.6874,2.0
30,31,Alive,1,"Uruchurtu, Don. Manuel E",0.0,40.0,0,0,PC 17601,27.7208,27.7208,0.0
31,32,Dead,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1.0,27.9,1,0,PC 17569,146.5208,146.5208,0.0
32,33,Dead,3,"Glynn, Miss. Mary Agatha",1.0,27.9,0,0,335677,7.75,23.25,1.0
33,34,Alive,2,"Wheadon, Mr. Edward H",0.0,66.0,0,0,C.A. 24579,10.5,21.0,2.0
34,35,Alive,1,"Meyer, Mr. Edgar Joseph",0.0,28.0,1,0,PC 17604,82.1708,82.1708,0.0
35,36,Alive,1,"Holverson, Mr. Alexander Oskar",0.0,42.0,1,0,113789,52.0,52.0,2.0
36,37,Dead,3,"Mamee, Mr. Hanna",0.0,30.7,0,0,2677,7.2292,21.6876,0.0
